The Ritz|1976|Richard Lester
River's Edge|1986|Tim Hunter
Roadgames|1981|Richard Franklin
Road House|1989|Rowdy Herrington
Robin Hood: Men in Tights|1993|Mel Brooks
Robinson Crusoe on Mars|1964|Byron Haskin
RoboCop|1987|Paul Verhoeven
Robot Monster|1953|Phil Tucker
Rock & Rule|1983|Clive A. Smith
Rock 'n' Roll High School|1979|Allan Arkush
Rocker|1972|Klaus Lemke
Rockers|1978|Theodoros Bafaloukos
The Rocky Horror Picture Show|1975|Jim Sharman
Roger & Me|1989|Michael Moore
Le Roi de Coeur|1966|Philippe de Broca
Rok Ďábla|2002|Petr Zelenka
Romanzo Criminale|2005|Michele Placido
Romy and Michele's High School Reunion|1997|David Mirkin
The Room|2003|Tommy Wiseau
Rosemary's Baby|1968|Roman Polanski
Rosencrantz and Guildenstern are Dead|1990|Tom Stoppard
Rounders|1998|John Dahl
The Royal Tenenbaums|2001|Wes Anderson
Ruby Gentry|1952|King Vidor
Rude Boy|1980|Jack Hazan and David Mingay
The Rules of Attraction|2002|Roger Avary
The Ruling Class|1972|Peter Medak
Rumble Fish|1983|Francis Ford Coppola
Runaway Nightmare|1982|Mike Cartel
The Running Man|1987|Paul Michael Glaser
Rushmore|1998|Wes Anderson
Russian Ark|2002|Alexander Sokurov
The Rutles: All You Need Is Cash|1978|Eric Idle, Gary Weis
Le Salaire de la Peur|1953|Henri-Georges Clouzot
Salò o le 120 Giornate di Sodoma|1975|Pier Paolo Pasolini
Salt of the Earth|1954|Herbert J. Biberman
Sami Swoi|1967|Sylwester Chęciński
Samurai Cop|1991|Amir Shervan
Sankofa|1993|Haile Gerima
The Sandlot|1993|David M. Evans
Santa Claus Conquers the Martians|1964|Nicholas Webster
Santa Sangre|1989|Alejandro Jodorowsky
Sátántangó|1994|Béla Tarr
The Savage Innocents|1960|Nicholas Ray
Say Anything...|1989|Cameron Crowe
A Scanner Darkly|2006|Richard Linklater
Scanners|1981|David Cronenberg
Scarface|1983|Brian De Palma
The Scarlet Empress|1934|Josef von Sternberg
Schizopolis|1996|Steven Soderbergh
La Science des Rêves|2006|Michel Gondry
Scorpio Rising|1963|Kenneth Anger
Scott Pilgrim vs. the World|2010|Edgar Wright
Scream|1996|Wes Craven
Scum|1979|Alan Clarke
The Searchers|1956|John Ford
Seconds|1966|John Frankenheimer
The Secret of NIMH|1982|Don Bluth
Secretary|2002|Steven Shainberg
Se sei vivo spara|1967|Giulio Questi
Sedmikrásky|1966|Věra Chytilová
Sei Donne per l'Assassino|1964|Mario Bava
Seksmisja|1984|Juliusz Machulski
Sennen Joyu|2001|Satoshi Kon
Serenity|2005|Joss Whedon
Serial Mom|1994|John Waters
Series 7: The Contenders|2001|Daniel Minahan
Session 9|2001|Brad Anderson
Seven Servants|1996|Daryush Shokof
Sextette|1977|Ken Hughes
Sexy Beast|2000|Jonathan Glazer
Shadows|1959|John Cassavetes
Shadow of the Vampire|2000|E. Elias Merhige
Shakes the Clown|1991|Bobcat Goldthwait
Shallow Grave|1994|Danny Boyle
Shao Lin san Shi liu Fang|1978|Liu Chia-liang
Sharknado|2013|Anthony C. Ferrante
Shaun of the Dead|2004|Edgar Wright
The Shawshank Redemption|1994|Frank Darabont
Neon Genesis Evangelion: The End of Evangelion|1997|Hideaki Anno and Kazuya Tsurumaki
The Shining|1980|Stanley Kubrick
Shivers|1975|David Cronenberg
Shock Corridor|1963|Samuel Fuller
Shock Treatment|1981|Jim Sharman
Sholay|1975|Ramesh Sippy
Shoot 'Em Up|2007|Michael Davis
The Shooting|1966|Monte Hellman
Shortbus|2006|John Cameron Mitchell
Shoto Pisu|2013|Shuhei Morita, Katsuhiro Otomo, Hiroaki Ando, Hajime Katoki, and Yohei Kataoka
Showdown in Little Tokyo|1991|Mark L. Lester
Showgirls|1995|Paul Verhoeven
Shrek|2001|Andrew Adamson and Vicky Jenson
Lady Snowblood|1973|Toshiya Fujita
The Sicilian|1987|Michael Cimino
Sid & Nancy|1986|Alex Cox
The Signal|2007|David Bruckner, Dan Bush, and Jacob Gentry
Siin me Oleme!|1979|Sulev Nõmmik
Silent Night, Deadly Night|1984|Charles Sellier
Silent Night, Deadly Night Part 2|1987|Lee Harry
Silent Running|1972|Douglas Trumbull
Sin City|2005|Frank Miller, Robert Rodriguez, and Quentin Tarantino
Singapore Sling: O Anthropos pou Agapise ena Ptoma|1990|Nikos Nikolaidis
Un Singe en Hiver|1962|Henri Verneuil
Sint|2010|Dick Maas
Sissi|1955|Ernst Marischka
Sisters|1973|Brian De Palma
Six-String Samurai|1998|Lance Mungia
Det Sjunde Inseglet|1957|Ingmar Bergman
Skidoo|1968|Otto Preminger
Skinwalkers|2006|James Isaac
Sky Captain and the World of Tomorrow|2004|Kerry Conran
Slacker|1991|Richard Linklater
Slap Shot|1977|George Roy Hill
SLC Punk!|1998|James Merendino
Sleepaway Camp|1983|Robert Hiltzik
Sleeper|1973|Woody Allen
Slither|2006|James Gunn
Smokin' Aces|2006|Joe Carnahan
Snakes On A Plane|2006|David R. Ellis
Snatch|2000|Guy Ritchie
So I Married an Axe Murderer|1993|Thomas Schlamme
Society|1989|Brian Yuzna
Solaris|1972|Andrei Tarkovsky
Sólo Con Tu Pareja|1991|Alfonso Cuarón
Some Like It Hot|1959|Billy Wilder
Somewhere in Time|1980|Jeannot Szwarc
Sonachine|1993|Takeshi Kitano
The Song Remains the Same|1976|Peter Clifton and Joe Massot
Songs from the Second Floor|2000|Roy Andersson
Sonnenallee|1999|Leander Haußmann
Sons of the Desert|1933|William A. Seiter
Sorcerer|1977|William Friedkin
The Sound of Music|1965|Robert Wise
South Park: Bigger, Longer & Uncut|1999|Trey Parker
Soy Cuba|1964|Mikhail Kalatozov
Soylent Green|1973|Richard Fleischer
Space Cop|2016|Jay Bauman and Mike Stoklasa
Space Is The Place|1974|John Coney
Spaceballs|1987|Mel Brooks
Space Jam|1996|Joe Pytka
Spanking the Monkey|1994|David O. Russell
Speed Racer|2008|The Wachowskis
Spetters|1980|Paul Verhoeven
Spider Baby|1967|Jack Hill
Spalovač Mrtvol|1969|Juraj Herz
Splice|2009|Vincenzo Natali
Spoorloos|1988|George Sluizer
Spring Breakers|2012|Harmony Korine
Srpski film|2011|Srđan Spasojević
A Star Is Born|1954|Moss Hart
Stardust Memories|1980|Woody Allen
Starship Troopers|1997|Paul Verhoeven
Star Wars Holiday Special|1978|Steve Binder
The Stepfather|1987|Joseph Ruben
The Stepford Wives|1975|Bryan Forbes
Stilyagi|2008|Valery Todorovsky
Stone|1974|Sandy Harbutt
Stop Making Sense|1984|Jonathan Demme
Strange Days|1995|Kathryn Bigelow
Stranger Than Paradise|1984|Jim Jarmusch
Straw Dogs|1971|Sam Peckinpah
Street Trash|1987|J. Michael Muro
Streets of Fire|1984|Walter Hill
Stuck|2007|Stuart Gordon
The Stuff|1985|Larry Cohen
The Stunt Man|1980|Richard Rush
Suddenly|1954|Lewis Allen
Sullivan's Travels|1941|Preston Sturges
Sundown: The Vampire in Retreat|1989|Anthony Hickox
Sunshine Daydream|2013|John Norris
Super Fly|1972|Gordon Parks, Jr.
Super Mario Bros.|1993|Rocky Morton and Annabel Jankel
Super Troopers|2001|Jay Chandrasekhar
Superstar: The Karen Carpenter Story|1988|Todd Haynes
Supervixens|1975|Russ Meyer
Surakshaa|1979|Ravikant Nagaich
Suspiria|1977|Dario Argento
Swamp Thing|1982|Wes Craven
Swades|2004|Ashutosh Gowariker
The Swarm|1978|Irwin Allen
Sweet Movie|1974|Dušan Makavejev
Sweet Sweetback's Baadasssss Song|1971|Melvin Van Peebles
Swingers|1996|Doug Liman
Switchblade Sisters|1975|Jack Hill
Sylvia Scarlett|1935|George Cukor
Symbiopsychotaxiplasm|1968|William Greaves
Sympathy for the Devil|1968|Jean-Luc Godard
Synecdoche, New York|2008|Charlie Kaufman
Tajemství hradu v Karpatech|1981|Oldřich Lipský
Taffin|1988|Francis Megahy
Take the Money and Run|1969|Woody Allen
The Tall T|1957|Budd Boetticher
Tampopo|1985|Juzo Itami
Tank Girl|1995|Rachel Talalay
A Tanú|1969|Péter Bacsó
Tapeheads|1988|Bill Fishman
Targets|1968|Peter Bogdanovich
Tarzan and His Mate|1934|Cedric Gibbons
Tarzoon, la Honte de la Jungle|1975|Picha
Taxi zum Klo|1980|Frank Ripploh
Team America: World Police|2004|Trey Parker
Teen Witch|1989|Dorian Walker
Tenacious D in: The Pick of Destiny|2006|Liam Lynch
The Terror of Tiny Town|1938|Sam Newfield
Terrore Nello Spazio|1965|Mario Bava
Tetsuo: The Iron Man|1989|Shinya Tsukamoto
The Texas Chain Saw Massacre|1974|Tobe Hooper
Texas Killing Fields|2011|Ami Canaan Mann
ThanksKilling|2009|Jordan Downey
That Hamilton Woman|1941|Alexander Korda
Thelma & Louise|1991|Ridley Scott
Them!|1954|Gordon Douglas
Themroc|1973|Claude Faraldo
Theo en Thea en de Ontmaskering van Het Tenenkaasimperium|1989|Pieter Kramer
They Live|1988|John Carpenter
They Live by Night|1947|Nicholas Ray
They Saved Hitler's Brain|1968|David Bradley
The Thief and the Cobbler|1993|Richard Williams
The Thief of Bagdad|1940|Alexander Korda, Michael Powell, Ludwig Berger and Tim Whelan
The Thing|1982|John Carpenter
The Thing from Another World|1951|Christian Nyby
The Thing With Two Heads|1972|Lee Frost
Things|1989|Andrew Jordan
The Third Man|1949|Carol Reed
This Is Spinal Tap|1984|Rob Reiner
This Island Earth|1955|Joseph M. Newman and Jack Arnold
Thriller – En Grym Film|1973|Bo Arne Vibenius
Thundercrack!|1975|Curt McDowell
Thunder Road|1958|Arthur Ripley
THX 1138|1971|George Lucas
Tian Can Di Que|1979|Joe Law
Tiān Xià Dì Yī Quán|1972|Jeong Chang-hwa
Time Bandits|1981|Terry Gilliam
Times Square|1980|Allan Moyle
The Tingler|1959|William Castle
Titicut Follies|1967|Frederick Wiseman
To Be or Not to Be|1942|Ernst Lubitsch
To the Devil a Daughter|1976|Peter Sykes
Tōkyō Nagaremono|1966|Seijun Suzuki
Tōkyō Zankoku Keisatsu|2008|Yoshihiro Nishimura
Tommy|1975|Ken Russell
Tommy Boy|1995|Peter Segal
Tonari no Totoro|1988|Hayao Miyazaki
Les Tontons Flingueurs|1963|Georges Lautner
Top Hat|1935|Mark Sandrich
Top Secret!|1984|Jim Abrahams, David Zucker and Jerry Zucker
Top Sensation|1969|Ottavio Alessi
El Topo|1970|Alejandro Jodorowsky
Totally Fucked Up|1993|Gregg Araki
Ein Toter hing im Netz|1960|Fritz Böttger
Touch of Evil|1958|Orson Welles
Touch of Zen|1971|King Hu
Tough Guys Don't Dance|1987|Norman Mailer
The Toxic Avenger|1984|Michael Herz, Lloyd Kaufman
Toys|1992|Barry Levinson
Trailer Park Boys: The Movie|2006|Mike Clattenburg
Trainspotting|1996|Danny Boyle
Trancers|1985|Charles Band
Trancers II|1991|Charles Band
Trancers III|1992|C. Courtney Joyner
Trancers 4: Jack of Swords|1994|David Nutter
Trancers 5: Sudden Deth|1994|David Nutter
Trancers 6|2002|Jay Woelfel
The Transformers: The Movie|1986|Nelson Shin
Trash Humpers|2009|Harmony Korine
La Traversée de Paris|1956|Claude Autant-Lara
Travolti da un Insolito Destino Nell'azzurro Mare d'Agosto|1974|Lina Wertmüller
Treasure Planet|2002|Ron Clements and John Musker
Tremors|1990|Ron Underwood
Trick 'r Treat|2007|Michael Dougherty
Trilogy of Terror|1975|Dan Curtis
The Trip|1967|Roger Corman
Les Triplettes de Belleville|2003|Sylvain Chomet
Troll 2|1990|Claudio Fragasso
Trolljegeren|2010|André Øvredal
Tromeo and Juliet|1996|Lloyd Kaufman
Tron|1982|Steven Lisberger
True Romance|1993|Tony Scott
Trust|1990|Hal Hartley
Tucker & Dale vs. Evil|2010|Eli Craig
The Tune|1992|Bill Plympton
Turkey Shoot|1982|Brian Trenchard-Smith
Turks Fruit|1973|Paul Verhoeven
Twisted Nerve|1968|Roy Boulting
Two for the Road|1967|Stanley Donen
Two-Lane Blacktop|1971|Monte Hellman
Two Thousand Maniacs!|1964|Herschell Gordon Lewis
Uchū Daikaijū Girara|1967|Kazui Nihonmatsu
UHF|1989|Jay Levey
Unbreakable|2000|M. Night Shyamalan
Universal Soldier|1992|Roland Emmerich
Unsichtbare Gegner|1977|Valie Export
Up in Smoke|1978|Lou Adler
Urgh! A Music War|1981|Derek Burbidge
L'Urlo|1970|Tinto Brass
Used Cars|1980|Robert Zemeckis
V for Vendetta|2006|James McTeigue
National Lampoon's Vacation|1983|Harold Ramis
La Vache et le Prisonnier|1959|Henri Verneuil
Valerie a Týden Divů|1970|Jaromil Jireš
Valley of the Dolls|1967|Mark Robson
Les Valseuses|1974|Bertrand Blier
Vamp|1986|Richard Wenk
Vampire Circus|1972|Robert Young
The Vampire Lovers|1970|Roy Ward Baker
Vampire's Kiss|1988|Robert Bierman
El Vampiro|1957|Fernando Méndez
Vampyr|1932|Carl Theodor Dreyer
Vampyros Lesbos|1971|Jesús Franco
Vanishing Point|1971|Richard C. Sarafian
Vāsasu|2000|Ryuhei Kitamura
Vase de Noces|1974|Thierry Zéno
Vegas in Space|1991|Phillip R. Ford
Velvet Goldmine|1998|Todd Haynes
The Velvet Vampire|1971|Stephanie Rothman
Die verlorene Ehre der Katharina Blum|1975|Volker Schlöndorff and Margarethe von Trotta
Vertigo|1958|Alfred Hitchcock
A Very Harold and Kumar 3D Christmas|2011|Todd Strauss-Schulson
Videodrome|1983|David Cronenberg
La Vie Sexuelle des Belges 1950-1978|1994|Jan Bucquoy
De Vierde Man|1983|Paul Verhoeven
Village of the Damned|1960|Wolf Rilla
Village of the Giants|1965|Bert I. Gordon
The Virgin Suicides|1999|Sofia Coppola
Viridiana|1961|Luis Buñuel
Vision Quest|1985|Harold Becker
The Visitor|1979|Giulio Paradisi
Viskningar och Rop|1972|Ingmar Bergman
Voulez-vous Coucher avec God?|1972|Jack Christie and Michael Hirsh
Vous n'aurez pas l'Alsace et la Lorraine|1972|Coluche and Marc Monnet
I Vitelloni|1953|Federico Fellini
Viva|2007|Anna Biller
Le Voyage dans la Lune|1902|Georges Méliès
W.R. - Misterije Organizma, W.R|1971|Dušan Makavejev
Waiting|2005|Rob McKittrick
Wake in Fright|1971|Ted Kotcheff
Walkabout|1971|Nicolas Roeg
Walker|1987|Alex Cox
Walking and Talking|1996|Nicole Holofcener
Wall Street|1987|Oliver Stone
The Wanderers|1979|Philip Kaufman
Warlock|1989|Steve Miner
The Warriors|1979|Walter Hill
Watchmen|2009|Zack Snyder
The Waterboy|1998|Frank Coraci
Waterworld|1995|Kevin Reynolds
Wattstax|1973|Mel Stuart
Wave Twisters|2001|Eric Henry and Syd Garon
Wax or the Discovery of Television Among the Bees|1991|David Blair
Wayne's World|1992|Penelope Spheeris
The Way of the Gun|2000|Christopher McQuarrie
Weird Science|1985|John Hughes
Welcome to the Dollhouse|1995|Todd Solondz
Werckmeister Harmóniák|2000|Béla Tarr
Westworld|1973|Michael Crichton
Wet Hot American Summer|2001|David Wain
What Ever Happened to Baby Jane?|1962|Robert Aldrich
What We Do in the Shadows|2014|Jemaine Clement, Taika Waititi
What's Opera, Doc?|1957|Chuck Jones
What's Up, Tiger Lily?|1966|Woody Allen and Senkichi Taniguchi
Where's Poppa?|1970|Carl Reiner
Where the Boys Are|1960|Henry Levin
White Dog|1982|Samuel Fuller
White Heat|1949|Raoul Walsh
White Mischief|1987|Michael Radford
White Zombie|1932|Victor Halperin
Who Framed Roger Rabbit|1988|Robert Zemeckis
The Wicker Man|1973|Robin Hardy
The Wicker Man|2006|Neil LaBute
The Wild Angels|1966|Roger Corman
Wild at Heart|1990|David Lynch
The Wild Bunch|1969|Sam Peckinpah
Wild Guitar|1962|Ray Dennis Steckler
Wild in the Streets|1968|Barry Shear
The Wild One|1953|László Benedek
Wild Style|1983|Charlie Ahearn
Wilder Napalm|1993|Glenn Gordon Caron
Will Success Spoil Rock Hunter?|1957|Frank Tashlin
Willard|2003|Glen Morgan
Willow|1988|Ron Howard
Willy Wonka & the Chocolate Factory|1971|Mel Stuart
Wir Wunderkinder|1958|Kurt Hoffmann
Witchboard|1986|Kevin S. Tenney
Witchfinder General|1968|Michael Reeves
Withnail and I|1987|Bruce Robinson
The Wiz|1978|Sidney Lumet
The Wizard|1989|Todd Holland
The Wizard of Oz|1939|Victor Fleming
The Wizard of Speed and Time|1979|Mike Jittlov
Wizards|1977|Ralph Bakshi
Wniebowzięci|1973|Andrzej Kondratiuk
Wolf Creek|2005|Greg McLean
Woodstock|1970|Michael Wadleigh
Wonderland|1999|Michael Winterbottom
The World's Greatest Sinner|1962|Timothy Carey
Wristcutters: A Love Story|2006|Goran Dukić
Wuthering Heights|1939|William Wyler
Xanadu|1980|Robert Greenwald
Xtro|1982|Harry Bromley Davenport
Y Tu Mamá También|2001|Alfonso Cuarón
The Year 01|1973|Jacques Doillon, Alain Resnais and Jean Rouch
Yellow Submarine|1968|George Dunning
Les Yeux Sans Visage|1960|Georges Franju
Yōjū Toshi|1987|Yoshiaki Kawajiri
You Are What You Eat|1968|Barry Feinstein
Young Frankenstein|1974|Mel Brooks
Z|1969|Costa-Gavras
Zaat|1971|Don Barton
Zabriskie Point|1970|Michelangelo Antonioni
Zardoz|1974|John Boorman
Zdravstvuyte, Ya Vasha Tyotya!|1975|Viktor Titov
Zéro de Conduite|1933|Jean Vigo
Zero Effect|1998|Jake Kasdan
The Zero Theorem|2013|Terry Gilliam
Ziggy Stardust and the Spiders from Mars|1973|D. A. Pennebaker
Zodiac|2007|David Fincher
Zombie Flesh Eaters|1979|Lucio Fulci
Zoolander|2001|Ben Stiller
Zu Warriors from the Magic Mountain|1983|Tsui Hark
